Datum,Stunden
01.01.23,2005
02.01.23,"2012,5"
03.01.23,2020
04.01.23,"2027,5"
05.01.23,2035
06.01.23,"2042,5"
07.01.23,2050
08.01.23,"2057,5"
09.01.23,2065
10.01.23,"2072,5"
11.01.23,2080
12.01.23,"2087,5"
13.01.23,2095
14.01.23,"2102,5"
15.01.23,2110
16.01.23,"2117,5"
17.01.23,2125
18.01.23,"2132,5"
19.01.23,2140
20.01.23,"2147,5"
21.01.23,2155
22.01.23,"2162,5"
23.01.23,2170
24.01.23,"2177,5"
25.01.23,2185
26.01.23,"2192,5"
27.01.23,2200
28.01.23,"2207,5"
29.01.23,2215
30.01.23,"2222,5"
31.01.23,2230
01.02.23,"2237,5"
02.02.23,2245
03.02.23,"2252,5"
04.02.23,2260
05.02.23,"2267,5"
06.02.23,2275
07.02.23,"2282,5"
08.02.23,2290
09.02.23,"2297,5"
10.02.23,2305
11.02.23,"2312,5"
12.02.23,2324
13.02.23,"2332,3"
14.02.23,"2340,6"
15.02.23,"2348,9"
16.02.23,"2357,2"
17.02.23,"2365,5"
18.02.23,"2373,8"
19.02.23,"2382,1"
20.02.23,"2390,4"
21.02.23,"2398,7"
22.02.23,2407
23.02.23,"2415,3"
24.02.23,"2423,6"
25.02.23,"2431,9"
26.02.23,"2440,2"
27.02.23,"2448,5"
28.02.23,"2456,8"
01.03.23,"2465,1"
02.03.23,"2473,4"
03.03.23,"2481,7"
04.03.23,2490
05.03.23,"2498,3"
06.03.23,"2506,6"
07.03.23,"2514,9"
08.03.23,"2523,2"
09.03.23,"2531,5"
10.03.23,"2539,8"
11.03.23,"2548,1"
12.03.23,"2556,4"
13.03.23,"2564,7"
14.03.23,2573
15.03.23,"2581,3"
16.03.23,"2589,6"
17.03.23,"2597,9"
18.03.23,"2606,2"
19.03.23,"2614,5"
20.03.23,"2622,8"
21.03.23,"2631,1"
22.03.23,"2639,4"
23.03.23,"2647,7"
24.03.23,2656
25.03.23,"2664,3"
26.03.23,"2672,6"
27.03.23,"2680,9"
28.03.23,"2689,2"
29.03.23,"2697,5"
30.03.23,"2705,8"
31.03.23,"2714,1"
01.04.23,"2722,4"
02.04.23,"2730,7"
03.04.23,2739
04.04.23,"2747,3"
05.04.23,"2755,6"
06.04.23,"2763,9"
07.04.23,"2772,2"
08.04.23,"2780,5"
09.04.23,"2788,8"
10.04.23,"2797,1"
11.04.23,"2805,4"
12.04.23,"2813,7"
13.04.23,2822
14.04.23,"2830,3"
15.04.23,"2838,6"
16.04.23,"2846,9"
17.04.23,"2855,2"
18.04.23,"2863,5"
19.04.23,"2871,8"
20.04.23,"2880,1"
21.04.23,"2888,4"
22.04.23,"2896,7"
23.04.23,2905
24.04.23,"2913,3"
25.04.23,"2921,6"
26.04.23,"2929,9"
27.04.23,"2938,2"
28.04.23,"2946,5"
29.04.23,"2954,8"
30.04.23,"2963,1"
01.05.23,"2971,4"
02.05.23,"2979,7"
03.05.23,2988
04.05.23,"2996,3"
05.05.23,3005
06.05.23,3015
07.05.23,3025
08.05.23,3035
09.05.23,3045
10.05.23,3055
11.05.23,3065
12.05.23,3075
13.05.23,3085
14.05.23,3095
15.05.23,3105
16.05.23,3115
17.05.23,3120
18.05.23,"3127,5"
19.05.23,3135
20.05.23,"3142,5"
21.05.23,3150
22.05.23,"3157,5"
23.05.23,3165
24.05.23,3172
25.05.23,3188
26.05.23,3198
27.05.23,3212
28.05.23,3219
29.05.23,3230
30.05.23,3234
31.05.23,3242
01.06.23,3261
02.06.23,3267
03.06.23,3278
04.06.23,3290
05.06.23,3294
06.06.23,3298
07.06.23,3298
08.06.23,3305
09.06.23,3316
10.06.23,3324
11.06.23,3335
12.06.23,3350
13.06.23,3352
14.06.23,3362
15.06.23,3372
16.06.23,3386
17.06.23,3397
18.06.23,3411
19.06.23,3424
20.06.23,3428
21.06.23,3440
22.06.23,3453
23.06.23,3466
24.06.23,3475
25.06.23,3483
26.06.23,3492
27.06.23,3494
28.06.23,3500
29.06.23,3514
30.06.23,3524
01.07.23,3537
02.07.23,3548
03.07.23,3552
04.07.23,3555
05.07.23,3562
06.07.23,3565
07.07.23,3569
08.07.23,3574
09.07.23,3580
10.07.23,3585
11.07.23,3590
12.07.23,3595
13.07.23,3599
14.07.23,3603
15.07.23,3611
16.07.23,3616
17.07.23,3616
18.07.23,3620
19.07.23,3621
20.07.23,3628
21.07.23,3634
22.07.23,3640
23.07.23,3654
24.07.23,3662
25.07.23,3670
26.07.23,3679
27.07.23,3687
28.07.23,3693
29.07.23,3698
30.07.23,3709
31.07.23,3717
01.08.23,"3723,65"
02.08.23,"3730,3"
03.08.23,"3736,95"
04.08.23,"3743,6"
05.08.23,"3750,25"
06.08.23,"3756,9"
07.08.23,"3763,55"
08.08.23,"3770,2"
09.08.23,"3776,85"
10.08.23,"3783,5"
11.08.23,"3790,15"
12.08.23,"3796,8"
13.08.23,"3803,45"
14.08.23,"3810,1"
15.08.23,"3816,75"
16.08.23,"3823,4"
17.08.23,"3830,05"
18.08.23,"3836,7"
19.08.23,"3843,35"
20.08.23,3850
21.08.23,"3856,65"
22.08.23,"3863,3"
23.08.23,"3869,95"
24.08.23,"3876,6"
25.08.23,"3883,25"
26.08.23,"3889,9"
27.08.23,"3896,55"
28.08.23,"3903,2"
29.08.23,"3909,85"
30.08.23,"3916,5"
31.08.23,"3923,15"
01.09.23,"3929,8"
02.09.23,"3936,45"
03.09.23,"3943,1"
04.09.23,"3949,75"
05.09.23,"3956,4"
06.09.23,"3963,05"
07.09.23,"3969,7"
08.09.23,"3976,35"
09.09.23,3983
10.09.23,"3989,65"
11.09.23,"3996,3"
12.09.23,"4002,95"
13.09.23,"4009,6"
14.09.23,"4016,25"
15.09.23,"4022,9"
16.09.23,"4029,55"
17.09.23,"4036,2"
18.09.23,"4042,85"
19.09.23,"4049,5"
20.09.23,"4056,15"
21.09.23,"4062,8"
22.09.23,"4069,45"
23.09.23,"4076,1"
24.09.23,"4082,75"
25.09.23,"4089,4"
26.09.23,"4096,05"
27.09.23,"4102,7"
28.09.23,"4109,35"
29.09.23,4116
30.09.23,"4122,65"
01.10.23,"4129,3"
02.10.23,"4135,95"
03.10.23,"4142,6"
04.10.23,"4149,25"
05.10.23,"4155,9"
06.10.23,"4162,55"
07.10.23,"4169,2"
08.10.23,"4175,85"
09.10.23,"4182,5"
10.10.23,"4189,15"
11.10.23,"4195,8"
12.10.23,"4202,45"
13.10.23,"4209,1"
14.10.23,"4215,75"
15.10.23,"4222,4"
16.10.23,"4229,05"
17.10.23,"4235,7"
18.10.23,"4242,35"
19.10.23,4249
20.10.23,"4255,65"
21.10.23,"4262,3"
22.10.23,"4268,95"
23.10.23,"4275,6"
24.10.23,"4282,25"
25.10.23,"4288,9"
26.10.23,"4295,55"
27.10.23,"4302,2"
28.10.23,"4308,85"
29.10.23,"4315,5"
30.10.23,"4322,15"
31.10.23,"4328,8"
01.11.23,"4335,45"
02.11.23,"4342,1"
03.11.23,"4348,75"
